nonbase_mass_retention,mean_scale,min_scale,max_predicted_relative_delta,hard_cap_violation_count,risk_weighted_predicted_delta,router_coupled_weighted_scale,router_coupled_weighted_predicted_delta,changed_group_count,route_mass_weighted_scale,candidate_id,pressure_quantile,extra_shrink_strength,extra_shrink_cap,retention_delta_vs_base,risk_delta_reduction_vs_base,router_coupled_delta_reduction_vs_base,passes_hard_cap,passes_retention_gate,ablation_only
0.9637978250905632,0.9615662569891599,0.4306440943988023,0.6490000000000001,0,0.23004626036171116,0.9732085796440963,0.22373285702849488,972,0.9789787091165354,router_q0.75_s0.0040_cap0.0075,0.75,0.004,0.0075,-0.00123667969434893,0.00037722109794582903,0.00045398794009327004,True,False,True
0.9637978250905632,0.9615662569891599,0.4306440943988023,0.6490000000000001,0,0.23004626036171116,0.9732085796440963,0.22373285702849488,972,0.9789787091165354,router_q0.75_s0.0040_cap0.0100,0.75,0.004,0.01,-0.00123667969434893,0.00037722109794582903,0.00045398794009327004,True,False,True
0.963833531363276,0.9616963767565295,0.4306440943988023,0.6490000000000001,0,0.2300477182379446,0.9732425025096048,0.22373726155630375,436,0.9790228543919153,router_q0.90_s0.0050_cap0.0050,0.9,0.005,0.005,-0.0012009734216361645,0.0003757632217123996,0.00044958341228440446,True,False,True
0.963833531363276,0.9616963767565295,0.4306440943988023,0.6490000000000001,0,0.2300477182379446,0.9732425025096048,0.22373726155630375,436,0.9790228543919153,router_q0.90_s0.0050_cap0.0075,0.9,0.005,0.0075,-0.0012009734216361645,0.0003757632217123996,0.00044958341228440446,True,False,True
0.963833531363276,0.9616963767565295,0.4306440943988023,0.6490000000000001,0,0.2300477182379446,0.9732425025096048,0.22373726155630375,436,0.9790228543919153,router_q0.90_s0.0050_cap0.0100,0.9,0.005,0.01,-0.0012009734216361645,0.0003757632217123996,0.00044958341228440446,True,False,True
0.9638444601302761,0.9616146703595727,0.4306440943988023,0.6490000000000001,0,0.23005866451669163,0.9732772965361272,0.22374846117317798,810,0.979027969814695,router_q0.80_s0.0040_cap0.0050,0.8,0.004,0.005,-0.0011900446546360133,0.0003648169429653625,0.0004383837954101688,True,False,True
0.9638444601302761,0.9616146703595727,0.4306440943988023,0.6490000000000001,0,0.23005866451669163,0.9732772965361272,0.22374846117317798,810,0.979027969814695,router_q0.80_s0.0040_cap0.0075,0.8,0.004,0.0075,-0.0011900446546360133,0.0003648169429653625,0.0004383837954101688,True,False,True
0.9638444601302761,0.9616146703595727,0.4306440943988023,0.6490000000000001,0,0.23005866451669163,0.9732772965361272,0.22374846117317798,810,0.979027969814695,router_q0.80_s0.0040_cap0.0100,0.8,0.004,0.01,-0.0011900446546360133,0.0003648169429653625,0.0004383837954101688,True,False,True
0.9638838462140893,0.961522866626783,0.4306440943988023,0.6490000000000001,0,0.23007801075432535,0.9733415958172588,0.22376962285857593,972,0.9790505243233715,router_q0.75_s0.0100_cap0.0030,0.75,0.01,0.003,-0.00115065857082286,0.0003454707053316408,0.00041722211001221643,True,False,True
0.9638870221064906,0.961526249770124,0.4306440943988023,0.6490000000000001,0,0.23007886065150326,0.9733460846077621,0.22377070505063257,972,0.9790537341659215,router_q0.75_s0.0075_cap0.0030,0.75,0.0075,0.003,-0.0011474826784215741,0.0003446208081537283,0.00041613991795558247,True,False,True
0.9639173672160639,0.9616781719103541,0.4306440943988023,0.6490000000000001,0,0.2300789666245547,0.9733885364863095,0.22377317879804445,638,0.9791068997564684,router_q0.85_s0.0040_cap0.0050,0.85,0.004,0.005,-0.0011171375688482366,0.0003445148351022831,0.00041366617054369725,True,False,True
