feature,decile,group_count,route_mass_sum,mean_feature_value,mean_selected_scale,mean_scale_delta,mean_selected_expected_delta_norm,hard_cap_bound_fraction,mean_benefit_term,mean_curvature_delta_term,mean_interference_term
feature_subspace_conflict,8,524,55.1671135172182,0.6925710170082359,0.9633869988626923,-0.006307612516693915,0.1849981169354779,0.0019083969465648854,0.5959870165329456,0.056266299140293484,0.4560260047487055
feature_subspace_conflict,9,524,52.731580072168626,0.7788902252797589,0.9544532533766024,-0.007644144737266034,0.18408234965896483,0.003816793893129771,0.6094635258106685,0.06933675036154345,0.5020030599568813
feature_subspace_conflict,10,525,41.76584436246445,0.8656667617650557,0.9420887914247471,-0.00865026848052033,0.21031999138984955,0.0,0.5805245476156866,0.10116820946361689,0.515377944927091
feature_subspace_route_conflict,1,524,44.73369126945069,0.0963157827214587,0.9935324367266907,-0.00014948813611735123,0.20529034708628033,0.48282442748091603,0.6325453484818016,0.035199792753243475,0.17492880115257473
feature_subspace_route_conflict,2,524,40.94737543856764,0.17310047162323128,0.9850585584993289,-0.000665687601793893,0.2202076774393403,0.22519083969465647,0.6685569252145395,0.0527641607551948,0.23601673799174733
feature_subspace_route_conflict,3,524,40.25148822887567,0.2364513309394651,0.9758743619202725,-0.0015815032466675745,0.2267720635433098,0.1297709923664122,0.6256555755548134,0.06653045181449857,0.2804989973939724
feature_subspace_route_conflict,4,525,41.951246624794734,0.2834356526015913,0.9782872432479208,-0.001908578333496437,0.2203628615411489,0.09142857142857143,0.6249862927070328,0.06222906276771989,0.29645538675860106
feature_subspace_route_conflict,5,524,44.667126053520896,0.3228981901304565,0.9746977944448936,-0.0024348877503930317,0.22636101133789158,0.07251908396946564,0.6470437173357713,0.06660088667204934,0.32435036482168544
feature_subspace_route_conflict,6,524,46.1148188660731,0.36274252198006984,0.9686045718031809,-0.003652489155899407,0.21606511749844579,0.05534351145038168,0.6135051858988453,0.07204409950134007,0.35163684416881025
feature_subspace_route_conflict,7,525,54.48207791461169,0.4043990839344594,0.9718733795485619,-0.0037748390591715248,0.21631603002961813,0.06095238095238095,0.6505149603346685,0.06342730267964591,0.3738066842043898
feature_subspace_route_conflict,8,524,54.574378811712364,0.4506139909952742,0.9679750817800036,-0.003962011235582914,0.2162551207893048,0.04389312977099236,0.6528885507591933,0.07349871464237959,0.396945750013291
feature_subspace_route_conflict,9,524,73.75744437280818,0.5054860883226721,0.9664176694483436,-0.005102615492502164,0.20691169582234067,0.03244274809160305,0.6430078961243593,0.06596338684241948,0.4374834225915663
feature_subspace_route_conflict,10,525,134.52035241958384,0.6557493361122029,0.9689153983477402,-0.005570669698279427,0.20757474887591534,0.01904761904761905,0.7398476684147002,0.058790688877188864,0.5080283664577697
interference_score,1,524,45.751136108283504,0.10538384991951096,0.9944792007297915,0.0003234501171925221,0.21058022879546973,0.48091603053435117,0.5675954711114921,0.03588377472838817,0.14420114804350484
interference_score,2,524,43.231268688787,0.16637534770064116,0.9912083842300318,-0.00018434346722407137,0.21838264075134134,0.24045801526717558,0.5962545263005093,0.044696326342100655,0.2059550395468992
interference_score,3,524,49.495700330849516,0.20588805843672886,0.9868448978220384,-0.0008895748544408469,0.19769447665096782,0.15267175572519084,0.6189358471911329,0.04234608667396153,0.245961659167188
interference_score,4,525,58.02572100938538,0.2442524895766713,0.9861161801307691,-0.001088986268890113,0.21699683503772021,0.14857142857142858,0.6860920566195698,0.051199592974884564,0.28480564569637973
interference_score,5,524,65.32256975632346,0.2875935282003071,0.9831831414814044,-0.001653366958436319,0.21952689179118295,0.12022900763358779,0.6970906245279321,0.05674853457161865,0.328688447302811
interference_score,6,524,53.13333958652339,0.3371584979061151,0.9709043458300566,-0.0033099234976247146,0.2338204024581098,0.04007633587786259,0.6641435656867718,0.07571515644098156,0.37887297912994156
interference_score,7,525,49.22071453892546,0.3793292131783434,0.9596727738100643,-0.004714661789177356,0.2280750974479415,0.015238095238095238,0.65864357593462,0.08366497207214676,0.4215708283430728
interference_score,8,524,46.04620447099007,0.40966881122783577,0.9536831359058503,-0.006303160090634479,0.21563744378844357,0.009541984732824428,0.6198721687620465,0.08649918095843455,0.4522896713681837
