case_type,layer_id,expert_id,total_topk_fraction,dominant_source,dominant_category,prior_scale,selected_scale,scale_delta,delta_norm,selected_expected_delta_norm,benefit_score,curvature_score,interference_score,benefit_term,curvature_delta_term,interference_term,solver_gradient_at_prior,objective_unconstrained_scale,hard_cap_scale,mechanistic_binding,mechanistic_reason,trust_risk_flags,tensor_pattern
benefit_gradient_restored,18,80,0.3257579494106188,coder,code,0.8838864043981974,0.8974360375162456,0.013549633118048132,0.7025025412828918,0.6304510969940111,0.9265076995731109,0.5954023689690215,0.4303488594145597,1.9346113437409016,0.4707063100009973,0.47322822015724175,0.682000455917491,1.3651299706474993,0.923840074392917,benefit_gradient_restore,route_important_fragile_boundary,high_load_expert|fragile_router_layer|high_load_weight_limit,.*layers\.18\..*experts\.80\..*
benefit_gradient_restored,46,38,0.3232920272511134,instruct,general,0.9945060631976907,0.995465514855825,0.0009594516581342694,0.1349166859488609,0.13430490824072447,0.4010878072617931,0.4069109779379827,0.3397938046228282,0.8216588794516727,0.01272955954754231,0.3815412271806137,0.05010912771779008,1.0590953281477469,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.46\..*experts\.38\..*
benefit_gradient_restored,6,34,0.3197488949107062,instruct,general,0.9905582976492876,0.9910581511071406,0.0004998534578529723,0.2147446238631051,0.2128244098859673,0.4225302816495662,0.4798400346338364,0.3569006747917551,0.8533322812198971,0.03679001353692771,0.39886193322665203,0.026697632892071277,1.0225501356908355,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.6\..*experts\.34\..*
benefit_gradient_restored,9,19,0.312632163095525,instruct,general,0.9903798775657068,0.9916629292014943,0.0012830516357875688,0.3706394113108295,0.36754936429801466,0.4742058502299283,0.5301924625397127,0.3345196053349129,0.9297786775760974,0.11893252062934098,0.3762011004015994,0.06682630284498947,1.0670740585747247,1.0,benefit_gradient_restore,balanced,high_load_expert,.*layers\.9\..*experts\.19\..*
benefit_gradient_restored,6,79,0.3117728807274477,instruct,general,0.9951320972186424,0.9991938372734392,0.00406174005479687,0.3125414634376363,0.3122895041593081,0.4623201508319126,0.3933118308067341,0.2868552348067896,0.9096991962413594,0.0665187197383667,0.32794092524187446,0.19081520176428235,1.2592725334666544,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.6\..*experts\.79\..*
benefit_gradient_restored,47,121,0.3037122446055979,instruct,general,0.9955942384676348,0.996697498147284,0.0011032596796491934,0.117291937927379,0.11690458108506518,0.3764481825577913,0.3819135180161687,0.3097362241785173,0.7644212755546321,0.009156694130798986,0.3511079269807489,0.05618286526990102,1.0745723567835128,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.47\..*experts\.121\..*
benefit_gradient_restored,34,95,0.3014214499117861,instruct,general,0.988645014854631,0.9906760387290195,0.0020310238743885822,0.2935426307177981,0.29080565059760366,0.4664840233914228,0.3126619127641891,0.3398720216533707,0.9053361787616487,0.04929574562585934,0.3816204219240379,0.10202593019125894,1.114209735893611,1.0,benefit_gradient_restore,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer,.*layers\.34\..*experts\.95\..*
benefit_gradient_restored,23,37,0.2951776648453508,coder,code,0.94724616613453,0.9637385011659358,0.01649233503140579,0.6527828321638844,0.6291119482564766,0.887124168795431,0.525824747208417,0.3443200782361499,1.8077171981926294,0.3664096613198644,0.3861240792141019,0.729127943897169,1.587585986624667,0.9942050679376098,benefit_gradient_restore,route_important_fragile_boundary,fragile_router_layer,.*layers\.23\..*experts\.37\..*
benefit_gradient_restored,38,81,0.2905268312286523,instruct,general,0.9973840119992816,0.997813676450892,0.000429664451610412,0.0860118788266647,0.08582382903048294,0.3506021787514584,0.3866187916678856,0.3023932183428016,0.7126684903821009,0.004971006952350983,0.34367313357208656,0.022162309967303395,1.0293957944529626,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.38\..*experts\.81\..*
benefit_gradient_restored,7,110,0.2886073600342922,instruct,general,0.9913370716401122,0.991993617610794,0.0006565459706817656,0.2217761617488645,0.2200005369930927,0.4011779589042401,0.4383964853831869,0.3215285427305676,0.7899065182287065,0.03648691919804359,0.3630476495146997,0.033930495126292204,1.0358312839562094,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.7\..*experts\.110\..*
