left_digit,right_digit,cosine,sign_conflict,weighted_conflict,max_layer_weighted_conflict,base_left_acc,base_right_acc,base_worst_acc,left_expert_left_acc,left_expert_right_acc,right_expert_left_acc,right_expert_right_acc,oracle_worst_acc,linear_left_acc,linear_right_acc,linear_avg_acc,linear_worst_acc,linear_avg_loss,linear_worst_loss,linear_drop_from_base,linear_drop_from_oracle,ties_worst_acc,dare_worst_acc
4,5,0.044023649582306625,0.4517887532711029,0.47039160164840466,0.6200774592241155,1.0,0.9459459459459459,0.9459459459459459,1.0,0.0,0.0,1.0,1.0,1.0,0.972972972972973,0.9864864864864865,0.972972972972973,0.05906676983477564,0.11488588436229809,-0.027027027027027084,0.027027027027026973,0.918918918918919,0.972972972972973
4,6,0.10441859379711668,0.4392390549182892,0.4262353270080974,0.5171017145339126,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9444444444444444,0.9722222222222222,0.9444444444444444,0.08350194328361087,0.14348475138346353,0.05555555555555558,0.05555555555555558,0.0,0.9444444444444444
4,7,0.012138257133845486,0.4883021116256714,0.49191157518123674,0.6560578026525192,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.0,1.0,1.0,1.0,0.9722222222222222,0.9861111111111112,0.9722222222222222,0.07568078819248411,0.13786983489990234,-0.02777777777777779,0.02777777777777779,0.0,0.9722222222222222
4,8,0.06652332968664532,0.4404315650463104,0.4555849458085079,0.567300684198775,1.0,0.9142857142857143,0.9142857142857143,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.049769720435142516,0.08723564147949218,-0.08571428571428574,0.0,0.0,0.9714285714285714
4,9,-0.0417805424902968,0.5225440263748169,0.5272628880261502,0.6261758848832889,1.0,0.9722222222222222,0.9722222222222222,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025838667733801734,0.04750136534372965,-0.02777777777777779,0.0,0.9444444444444444,1.0
5,6,0.09148079425078137,0.4307211935520172,0.43726161136356917,0.5018126847997606,0.9459459459459459,1.0,0.9459459459459459,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07211493801426243,0.10474956035614014,-0.05405405405405406,0.0,0.0,1.0
5,7,0.0958072340194424,0.420272558927536,0.43926480566376486,0.4860829259626169,0.9459459459459459,0.9444444444444444,0.9444444444444444,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.047411830597990624,0.07350727029748864,-0.05555555555555558,0.0,1.0,1.0
5,8,0.09475483782803613,0.4325951039791107,0.43989670384892243,0.6061413249255097,0.9459459459459459,0.9142857142857143,0.9142857142857143,1.0,0.0,0.0,1.0,1.0,1.0,0.9714285714285714,0.9857142857142858,0.9714285714285714,0.08603899865537076,0.09129224596796809,-0.05714285714285716,0.02857142857142858,0.14285714285714285,0.9714285714285714
5,9,-0.02131051478903018,0.5064167976379395,0.51322509218683,0.5990287038374518,0.9459459459459459,0.9722222222222222,0.9459459459459459,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10386949500164111,0.10837093326780531,-0.05405405405405406,0.0,0.972972972972973,0.9459459459459459
6,7,0.12984568868406202,0.4026121497154236,0.4097934166273926,0.4640843761043654,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.046604379183716245,0.08355906274583605,-0.05555555555555558,0.0,0.6111111111111112,1.0
6,8,0.10597004996819448,0.4140261113643646,0.42768110149245553,0.5316892394110639,1.0,0.9142857142857143,0.9142857142857143,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08477547906693958,0.11460407574971516,-0.08571428571428574,0.0,0.9428571428571428,1.0
6,9,0.04363314941168969,0.4357183277606964,0.47077043142675334,0.5931979669140524,1.0,0.9722222222222222,0.9722222222222222,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0240550691054927,0.04046898086865743,-0.02777777777777779,0.0,1.0,0.9722222222222222
7,8,0.07987963469217073,0.4366269111633301,0.4478121005306577,0.6991615677298474,0.9444444444444444,0.9142857142857143,0.9142857142857143,1.0,0.0,0.0,1.0,1.0,1.0,0.9428571428571428,0.9714285714285714,0.9428571428571428,0.10853234432519429,0.1915987151009696,-0.02857142857142858,0.05714285714285716,0.0,0.9428571428571428
7,9,0.05495458450412748,0.4663827419281006,0.4659907472863137,0.5151892469267144,0.9444444444444444,0.9722222222222222,0.9444444444444444,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07637995150354174,0.0880222651693556,-0.05555555555555558,0.0,0.5,1.0
8,9,0.06370297209043362,0.44622373580932617,0.4601198388907723,0.537117423616731,0.9142857142857143,0.9722222222222222,0.9142857142857143,1.0,0.0,0.0,1.0,1.0,0.9714285714285714,1.0,0.9857142857142858,0.9714285714285714,0.20937757738052853,0.2968237740652902,-0.05714285714285716,0.02857142857142858,0.0,0.9714285714285714
