ablation,layer_id,expert_id,dominant_source,dominant_category,route_mass,baseline_scale,ablated_scale,scale_shift,abs_scale_shift,audit_max_relative_delta_norm,benefit_score,curvature_score,interference_score,feature_subspace_conflict,feature_expert_internal_geometry,feature_router_instability,trust_risk_flags,mechanistic_reason
no_expert_geometry,37,51,coder,code,0.0308797524314765,0.7619969015811701,0.770370790288439,0.008373888707268962,0.008373888707268962,0.8424514638684628,0.7239717873102403,0.4257865836837342,0.09022341215876997,0.3775223037657151,0.3339767138216987,0.0,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_expert_geometry,8,44,coder,code,0.0572373862696442,0.8161298255537941,0.8244165733204276,0.008286747766633518,0.008286747766633518,0.7819899415616111,0.7308551528880536,0.4664064641832279,0.16557562106155557,0.3181808347345733,0.3176099033982735,0.4084333256168654,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_expert_geometry,0,90,coder,code,0.0174513704686118,0.6826070927032469,0.6908854188209435,0.008278326117696522,0.008278326117696522,0.905437054506789,0.7115334026237259,0.49761912878641457,0.18732229835778355,0.532415888106458,0.5053495824156617,0.0180180166030063,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_expert_geometry,37,126,coder,code,0.013284703801945,0.6783700215300729,0.6866413439856269,0.008271322455554064,0.008271322455554064,0.9200181177442236,0.7076739202971284,0.4712414834552196,0.16992165787679933,0.4700181567364287,0.4670430839072369,0.0,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_expert_geometry,6,111,coder,code,0.0258620689655172,0.5507262365787975,0.558997464023129,0.008271227444331508,0.008271227444331508,1.0695519195075085,0.719324028752481,0.6848218712504521,0.24803999468212362,0.7723843198815485,0.7565332094996637,0.5381438585904866,delta_above_base_cap,balanced
no_expert_geometry,37,74,coder,code,0.0086206896551724,0.6404855911047191,0.6486871446112834,0.008201553506564263,0.008201553506564263,0.9608776806951584,0.7033537570562157,0.5005367862429041,0.18835389235664018,0.552037766720713,0.5427494746499071,0.0,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_expert_geometry,9,99,coder,code,0.0265694076038903,0.6253238703605681,0.6334723339407945,0.008148463580226362,0.008148463580226362,0.9683190729609388,0.7199792193861739,0.6032782034684566,0.22672014978433558,0.619601259798687,0.5833671843907668,0.6618339212375192,delta_above_base_cap,balanced
no_expert_geometry,45,40,coder,code,0.0265694076038903,0.6192817062056722,0.6272973116321948,0.008015605426522576,0.008015605426522576,0.9844501651741,0.7199792193861739,0.5712750168957833,0.20977270448115173,0.5845098168239575,0.5778600766958076,0.590125355375917,delta_above_base_cap,balanced
no_expert_geometry,37,47,coder,code,0.0089743589743589,0.7060491980056485,0.714049677885911,0.008000479880262534,0.008000479880262534,0.8817412818752383,0.7036813523730621,0.47361468128713974,0.17330483404736383,0.4870975484182305,0.4764773650853868,0.0,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_expert_geometry,0,10,coder,code,0.013284703801945,0.7688907677465291,0.7768747871604765,0.00798401941394744,0.00798401941394744,0.827914149791135,0.7076739202971284,0.42782159045036394,0.1452073263985065,0.3550959460946118,0.3479454618412018,0.0180180166030063,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_expert_geometry,4,108,coder,code,0.0265694076038903,0.6037187068821009,0.6116790812030302,0.00796037432092922,0.00796037432092922,0.997874687649676,0.7199792193861739,0.6108311737496308,0.23482250451239434,0.649276801247379,0.6153081410448608,0.6705629166978864,delta_above_base_cap,balanced
no_expert_geometry,37,37,coder,code,0.013284703801945,0.7324608541259305,0.7403642282289423,0.007903374103011784,0.007903374103011784,0.8663031409324625,0.7076739202971284,0.42903726252577207,0.14854750990324683,0.378623632432577,0.3643500519941689,0.0,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_feedback_prior,0,0,instruct,math,0.116096832058838,0.9910154796401947,0.9910154796401947,0.0,0.0,0.2731123553081956,0.2863436311531587,0.36231208362226763,0.29582791088822785,0.4314787528541759,0.4014014504020108,0.0180180166030063,shared_mixed_expert,balanced
no_feedback_prior,0,1,instruct,general,0.1534687074952296,0.987922933576998,0.987922933576998,0.0,0.0,0.2405271261440417,0.2820110731866494,0.4716378628269143,0.3499868621728502,0.7018821237601537,0.6605213612484936,0.0180180166030063,shared_mixed_expert,balanced
no_feedback_prior,0,2,instruct,safety,0.114722902294683,0.9905870696571929,0.9905870696571929,0.0,0.0,0.2023936860414864,0.201176271542186,0.34634169198749276,0.257241156796235,0.4352771007169292,0.4071365964884955,0.0180180166030063,shared_mixed_expert,balanced
no_feedback_prior,0,3,instruct,safety,0.2524841095014548,0.9935320311864684,0.9935320311864684,0.0,0.0,0.159140282658745,0.30960550486981436,0.4027894328304254,0.34165202448448506,0.4870092195591894,0.4458336315476858,0.0180180166030063,high_load_expert|shared_mixed_expert,balanced
no_feedback_prior,0,4,instruct,general,0.022112887112887,0.9910431181690641,0.9910431181690641,0.0,0.0,0.181967564690576,0.14567452814908194,0.28507735806119316,0.20257468062450756,0.3694703525897706,0.3415211678991042,0.0180180166030063,,balanced
no_feedback_prior,0,6,instruct,math,0.0104895104895104,0.9713349084338695,0.9713349084338695,0.0,0.0,0.4726987828423757,0.24088424875319236,0.5340242951777918,0.4912973002455751,0.8187048475521418,0.7779927539059748,0.0180180166030063,low_route_evidence,balanced
no_feedback_prior,0,7,instruct,math,0.0576477366024777,0.9914530823281325,0.9914530823281325,0.0,0.0,0.1953359679555319,0.2016524260389088,0.3395959087627388,0.23301644785181608,0.4733146980581704,0.442780800631595,0.0180180166030063,,balanced
no_feedback_prior,0,8,instruct,math,0.0056818181818181,0.9889706428788185,0.9889706428788185,0.0,0.0,0.0,0.07743155165344313,0.3193239665527584,0.19810392942869443,0.5868315121866022,0.5516030915113136,0.0180180166030063,low_route_evidence,balanced
no_feedback_prior,0,10,coder,code,0.013284703801945,0.7688907677465291,0.7688907677465291,0.0,0.0,0.827914149791135,0.7076739202971284,0.42782159045036394,0.1452073263985065,0.3550959460946118,0.3479454618412018,0.0180180166030063,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_feedback_prior,0,11,instruct,math,0.0422813204245696,0.9962920184290072,0.9962920184290072,0.0,0.0,0.0873145280115735,0.14669810784447299,0.28082161132825717,0.15244867299875928,0.4014552280233462,0.3644674848574895,0.0180180166030063,,balanced
