alpha,beta,vehicle_loss,animal_loss,vehicle_acc,animal_acc,avg_loss,worst_loss,avg_acc,worst_acc
0.275,-0.175,0.9739858839246962,2.3152760329069912,0.6416666666666667,0.21481481481481482,1.6446309584158438,2.3152760329069912,0.42824074074074076,0.21481481481481482
0.275,-0.1,0.9795239130655925,2.208059529904966,0.6375,0.22592592592592592,1.5937917214852793,2.208059529904966,0.4317129629629629,0.22592592592592592
0.275,-0.025000000000000022,0.9941192415025499,2.102137968275282,0.6430555555555556,0.24444444444444444,1.548128604888916,2.102137968275282,0.44375000000000003,0.24444444444444444
0.275,0.04999999999999999,1.0206341213650174,1.998630212854456,0.6361111111111111,0.26851851851851855,1.5096321671097366,1.998630212854456,0.45231481481481484,0.26851851851851855
0.275,0.125,1.0630936092800565,1.8993743260701497,0.625,0.2935185185185185,1.4812339676751032,1.8993743260701497,0.45925925925925926,0.2935185185185185
0.275,0.19999999999999996,1.1272889243231878,1.8062312302766024,0.6125,0.3194444444444444,1.4667600772998952,1.8062312302766024,0.46597222222222223,0.3194444444444444
0.275,0.275,1.2216693030463324,1.7210520285147208,0.5708333333333333,0.3611111111111111,1.4713606657805265,1.7210520285147208,0.46597222222222223,0.3611111111111111
0.275,0.35,1.3580374399820963,1.6457046932644315,0.5027777777777778,0.4027777777777778,1.5018710666232638,1.6457046932644315,0.4527777777777778,0.4027777777777778
0.275,0.42499999999999993,1.5510075039333768,1.5815675523546007,0.3902777777777778,0.41388888888888886,1.5662875281439887,1.5815675523546007,0.40208333333333335,0.3902777777777778
0.275,0.5,1.815083270602756,1.529208324573658,0.25972222222222224,0.42685185185185187,1.672145797588207,1.815083270602756,0.34328703703703706,0.25972222222222224
0.275,0.575,2.159976026746962,1.4882021444815177,0.13472222222222222,0.44074074074074077,1.8240890856142398,2.159976026746962,0.2877314814814815,0.13472222222222222
0.275,0.6499999999999999,2.584691450330946,1.4575240241156684,0.04861111111111111,0.4444444444444444,2.021107737223307,2.584691450330946,0.24652777777777776,0.04861111111111111
0.275,0.725,3.0739249335394967,1.4356433020697699,0.015277777777777777,0.45,2.2547841178046335,3.0739249335394967,0.2326388888888889,0.015277777777777777
0.275,0.8,3.6026018778483073,1.4215880711873372,0.0,0.4546296296296296,2.5120949745178223,3.6026018778483073,0.2273148148148148,0.0
0.275,0.875,4.142841084798177,1.4142403567278827,0.0,0.45185185185185184,2.77854072076303,4.142841084798177,0.22592592592592592,0.0
0.275,0.95,4.672371249728733,1.4133384987160011,0.0,0.4537037037037037,3.042854874222367,4.672371249728733,0.22685185185185186,0.0
0.275,1.025,5.177130805121528,1.4185488171047635,0.0,0.44814814814814813,3.2978398111131457,5.177130805121528,0.22407407407407406,0.0
0.275,1.0999999999999999,5.64944576687283,1.4297297018545645,0.0,0.44814814814814813,3.5395877343636974,5.64944576687283,0.22407407407407406,0.0
0.275,1.175,6.085836113823785,1.4465007287484628,0.0,0.4462962962962963,3.7661684212861237,6.085836113823785,0.22314814814814815,0.0
0.275,1.25,6.485773044162326,1.468486538639775,0.0,0.4444444444444444,3.9771297914010506,6.485773044162326,0.2222222222222222,0.0
0.35,-0.25,0.9430788252088759,2.6887244047941983,0.65,0.13425925925925927,1.815901615001537,2.6887244047941983,0.39212962962962966,0.13425925925925927
0.35,-0.175,0.936458502875434,2.574586515073423,0.6555555555555556,0.15648148148148147,1.7555225089744284,2.574586515073423,0.4060185185185185,0.15648148148148147
0.35,-0.1,0.9355840471055773,2.4582707157841437,0.6527777777777778,0.1824074074074074,1.6969273814448604,2.4582707157841437,0.4175925925925926,0.1824074074074074
