candidate_id,benefit_gain,curvature_gain,interference_gain,step_size,group_count,scaled_group_count,restored_group_count,max_predicted_relative_delta,p99_predicted_relative_delta,hard_cap_violation_count,nonbase_mass_retention,route_mass_weighted_predicted_delta,risk_weighted_predicted_delta,benefit_weighted_scale,mean_mechanistic_loss_proxy,mean_scale,min_scale,high_benefit_low_risk_group_count,high_benefit_low_risk_mean_scale,high_interference_low_benefit_group_count,high_interference_low_benefit_mean_scale,high_subspace_group_count,high_subspace_mean_scale,mechanistic_objective,passes_hard_cap
s0.08_b1.15_h1.00_i0.75,1.15,1.0,0.75,0.08,5243,5167,37,0.65,0.6272498924494536,0,0.9564699380072509,0.21313855915663404,0.22831040996299987,0.9672850258817003,0.02824192746587685,0.9561797201809235,0.42294511808012386,186,0.8529484940549059,314,0.9604030926168586,1139,0.9323740876032537,0.20116274466266149,True
s0.08_b1.15_h1.25_i0.75,1.15,1.25,0.75,0.08,5243,5194,18,0.65,0.6248619491692533,0,0.9557059268299891,0.21296682074846926,0.22812036324879606,0.9667019947482812,0.02819704009887094,0.9557421551073092,0.4211392682387001,186,0.8504216328425672,314,0.9599417712370231,1139,0.9319495144854012,0.20282849000908956,True
s0.08_b1.40_h0.75_i1.00,1.4,0.75,1.0,0.08,5243,5128,82,0.65,0.6314434149840542,0,0.9547064584041859,0.21274172365853994,0.22787486572241888,0.9650915584661327,0.027972345042782728,0.9539361929902336,0.42658565355463435,186,0.8566546910716657,314,0.9576799133978796,1139,0.9299532814485333,0.20514234450738988,True
s0.16_b1.65_h0.75_i0.75,1.65,0.75,0.75,0.16,5243,4736,220,0.65,0.65,0,0.9535396705044118,0.21233483724865634,0.22716105908328357,0.9642094826447966,0.027351349782548363,0.9461803810113734,0.42746424976986236,186,0.8693514452712148,314,0.9359464934093119,1139,0.9138574288352732,0.20642220711136203,True
s0.12_b1.40_h0.75_i0.75,1.4,0.75,0.75,0.12,5243,4992,140,0.65,0.6393942261449705,0,0.9537919400227847,0.21245633028994382,0.22740989712839152,0.9644567176038585,0.027649381431715626,0.9502140682892131,0.42516613626823374,186,0.8622690836098672,314,0.9470096838004219,1139,0.9221690701822567,0.20644860042510654,True
s0.08_b1.40_h1.00_i1.00,1.4,1.0,1.0,0.08,5243,5161,53,0.65,0.6287203688730437,0,0.9540095185349234,0.21258499494751615,0.22770363949378492,0.9645774003491674,0.027935288132038893,0.9535122362860969,0.42407321224959676,186,0.8536870365986097,314,0.9573157084635584,1139,0.9295435825389641,0.20666249292183342,True
s0.08_b1.40_h1.25_i1.00,1.4,1.25,1.0,0.08,5243,5190,29,0.65,0.626237359896309,0,0.953375258664496,0.21244272522805566,0.2275479585819092,0.9641019778946681,0.027900373050944702,0.9531394755513457,0.4222265338392701,186,0.8512559073334492,314,0.9569692626524411,1139,0.9291876202857017,0.2080478563236882,True
s0.08_b0.90_h0.75_i0.75,0.9,0.75,0.75,0.08,5243,5200,26,0.65,0.625989079529854,0,0.9531414098688981,0.21240532645097102,0.22752225211347937,0.9637500446910604,0.027919602152249368,0.9538798978891702,0.4228680227666051,186,0.8505261327153592,314,0.9580728741915324,1139,0.930488251272144,0.20870897595778087,True
s0.08_b1.65_h0.75_i1.25,1.65,0.75,1.25,0.08,5243,5123,93,0.65,0.6327463184488409,0,0.9528767529909679,0.21233081887864136,0.22742545813790133,0.9631091118241855,0.027751876371752852,0.9519925635560044,0.4275409469497975,186,0.8571138989477988,314,0.9554963142984222,1139,0.92793968651841,0.2092321012518431,True
s0.12_b1.40_h1.00_i0.75,1.4,1.0,0.75,0.12,5243,5062,78,0.65,0.6323781915297043,0,0.9524170033469448,0.21214362851233684,0.22706035784648562,0.9634345223864361,0.027570587504233728,0.949392483562091,0.4207556816634578,186,0.8576055432831183,314,0.9461966471882877,1139,0.9213356149857901,0.20942540009656838,True
s0.08_b0.90_h1.00_i0.75,0.9,1.0,0.75,0.08,5243,5219,10,0.6479851401511906,0.6234876960793392,0,0.9523998300338824,0.21223884704139817,0.22733904114539452,0.9631918183664787,0.027877706701135915,0.9534455600530153,0.42077846870869506,186,0.8478931558013202,314,0.9576355474039102,1139,0.9300597182491234,0.21032673042483319,True
s0.16_b1.65_h1.00_i0.75,1.65,1.0,0.75,0.16,5243,4837,145,0.65,0.6444447504361847,0,0.9516757394145305,0.2119054959967575,0.22667020878593921,0.9628455944667471,0.02724042455426653,0.9450458450137107,0.42073289461822055,186,0.8642605340373969,314,0.9347577469726651,1139,0.9126115117224572,0.2104178070522996,True
s0.08_b1.65_h1.00_i1.25,1.65,1.0,1.25,0.08,5243,5154,62,0.65,0.6295062862845738,0,0.9522822592593291,0.2121972036321942,0.227280469598527,0.9626759584439589,0.027721714223785075,0.95162365691355,0.4250549952490758,186,0.8543783330567297,314,0.9552094707519283,1139,0.9275856129565634,0.21052990096376986,True
s0.08_b1.65_h1.25_i1.25,1.65,1.25,1.25,0.08,5243,5180,38,0.65,0.627421766397357,0,0.9517379137093285,0.21207520315281345,0.22714797065671985,0.9622736069260233,0.0276931917755543,0.9512953388758263,0.42319040708665656,186,0.8520321323621982,314,0.9549347227963927,1139,0.9272759364489547,0.21171996651978342,True
s0.08_b0.90_h1.25_i0.75,0.9,1.25,0.75,0.08,5243,5234,1,0.643875404709502,0.6219954862176332,0,0.9517207080275869,0.21208692471874346,0.2271717529856636,0.9626715024017274,0.027838350364400306,0.9530622898887652,0.4192780599422921,186,0.8457293444918373,314,0.9572235077858791,1139,0.9296888530864578,0.2118115484097522,True
s0.12_b1.40_h1.25_i0.75,1.4,1.25,0.75,0.12,5243,5102,49,0.65,0.6281238442854566,0,0.9511714810486894,0.21186153908489821,0.22674528403887229,0.9624930682855211,0.02749690769065812,0.9486677730955538,0.41758874528879103,186,0.853627608140678,314,0.9454307424758276,1139,0.9206181933762307,0.21212826009134192,True
s0.08_b1.15_h0.75_i1.00,1.15,0.75,1.0,0.08,5243,5188,38,0.65,0.6275326645041683,0,0.9512220690192701,0.21197165862585376,0.22704606340756098,0.9616265053914483,0.02766859921755498,0.9515832840875895,0.4242057766491518,186,0.8516851439735913,314,0.9553916992916317,1139,0.9279863744899064,0.21298596545364118,True
s0.16_b1.65_h1.25_i0.75,1.65,1.25,0.75,0.16,5243,4910,89,0.65,0.6354366468634003,0,0.9499540903057514,0.21151137875181697,0.22622274315972504,0.9615642580901869,0.027136114037902864,0.9440252203470316,0.41589943063529,186,0.8593322696902654,314,0.9336379771657765,1139,0.9115475336660039,0.21412434136702754,True
s0.08_b1.15_h1.00_i1.00,1.15,1.0,1.0,0.08,5243,5209,20,0.65,0.6251007383059711,0,0.9506051012597244,0.21183329615752453,0.22689527192334777,0.961170441430931,0.027635773483966588,0.9512100000614039,0.42205681096330067,186,0.849127387206028,314,0.9550626841670251,1139,0.9276242392304956,0.21433338345253614,True
s0.08_b1.15_h1.25_i1.00,1.15,1.25,1.0,0.08,5243,5221,10,0.6491180984532589,0.6232859085796912,0,0.9500384403668748,0.21170661556315518,0.22675698780149064,0.9607441283507492,0.027604759896602677,0.9508801610480173,0.4204772920592621,186,0.8470179707100823,314,0.9547496901861552,1139,0.9273089147744796,0.21557328942926443,True
s0.08_b1.40_h0.75_i1.25,1.4,0.75,1.25,0.08,5243,5170,55,0.65,0.628854890539624,0,0.9498895261167369,0.21167100723795937,0.2267169761528784,0.960146308436749,0.027494283413271006,0.9499639909484606,0.4253411174473309,186,0.8526983865948162,314,0.9535708810720014,1139,0.9262608327179082,0.21595983257296372,True
