layer,expert,tensor_count,changed_tensors,max_relative_delta_norm,mean_relative_delta_norm,target_cap,delta_scale,scaled,predicted_max_relative_delta_norm
0,55,3,3,0.6200020508921921,0.5952772318902219,0.65,1.0,False,0.6200020508921921
0,56,3,3,0.7500218768922794,0.719144776921917,0.65,0.8666413874396295,True,0.65
0,57,3,3,0.1362065173893042,0.1335858502094459,0.65,1.0,False,0.1362065173893042
0,58,3,0,0.0,0.0,0.65,1.0,False,0.0
0,59,3,3,0.4911487431480177,0.4790587273916435,0.65,1.0,False,0.4911487431480177
0,60,3,0,0.0,0.0,0.65,1.0,False,0.0
0,61,3,3,0.3050426434762073,0.2972872983784802,0.65,1.0,False,0.3050426434762073
0,62,3,3,0.2634152454364752,0.25792331355948694,0.65,1.0,False,0.2634152454364752
0,63,3,3,0.2473564709309164,0.24081224114371094,0.65,1.0,False,0.2473564709309164
0,64,3,3,0.1687886208493736,0.16743857864223224,0.65,1.0,False,0.1687886208493736
0,65,3,3,0.4375481309062478,0.42239517537680116,0.65,1.0,False,0.4375481309062478
0,66,3,3,0.148606208435052,0.14711507254755185,0.65,1.0,False,0.148606208435052
0,67,3,3,0.1673484046705505,0.15875727822349356,0.65,1.0,False,0.1673484046705505
0,68,3,3,0.2401582187761767,0.22931569083111203,0.65,1.0,False,0.2401582187761767
0,69,3,3,0.2736475239524513,0.2662937511006592,0.65,1.0,False,0.2736475239524513
0,70,3,3,0.1518535751783733,0.1485248982203691,0.65,1.0,False,0.1518535751783733
0,71,3,3,0.300008455850998,0.2951216502799217,0.65,1.0,False,0.300008455850998
0,72,3,3,0.2190737544329335,0.21297647655762852,0.65,1.0,False,0.2190737544329335
0,73,3,3,0.1540116461784865,0.1486893362847922,0.65,1.0,False,0.1540116461784865
0,74,3,0,0.0,0.0,0.65,1.0,False,0.0
0,75,3,3,0.2427891566977118,0.23683793274540324,0.65,1.0,False,0.2427891566977118
0,76,3,0,0.0,0.0,0.65,1.0,False,0.0
0,77,3,3,0.1791541496408969,0.17330356994467946,0.65,1.0,False,0.1791541496408969
0,78,3,0,0.0,0.0,0.65,1.0,False,0.0
0,79,3,0,0.0,0.0,0.65,1.0,False,0.0
0,80,3,3,0.2599236797223911,0.2525275297136293,0.65,1.0,False,0.2599236797223911
0,81,3,3,0.2134486720619448,0.21081531983186982,0.65,1.0,False,0.2134486720619448
0,82,3,3,0.1526193812736707,0.14426868518644362,0.65,1.0,False,0.1526193812736707
0,83,3,3,0.3233971862784837,0.31169730816976005,0.65,1.0,False,0.3233971862784837
0,84,3,3,0.2620361343697416,0.25668388629801125,0.65,1.0,False,0.2620361343697416
0,85,3,3,0.3088845070385217,0.30485474655368955,0.65,1.0,False,0.3088845070385217
0,86,3,3,0.1726597562826874,0.16692207785212357,0.65,1.0,False,0.1726597562826874
0,87,3,3,0.1925022992120214,0.1849426635060977,0.65,1.0,False,0.1925022992120214
0,88,3,0,0.0,0.0,0.65,1.0,False,0.0
0,89,3,0,0.0,0.0,0.65,1.0,False,0.0
