group_count,route_mass,weighted_boundary_fragility,weighted_safe_lambda_proxy,weighted_router_instability_feature,weighted_scale,weighted_scale_shrink,weighted_expected_delta,weighted_benefit,weighted_curvature,weighted_interference,layer_id,boundary_fragility_score,safe_lambda_proxy,unsafe_fraction,fragility_rank,router_margin_action,route_mass_weighted_router_undercoverage,route_mass_weighted_router_residual_pressure,router_coupled_risk_sum,top_expert_id
108,11.999999999999973,0.4408155230185277,0.049999999999999996,0.5403783292781158,0.9927764454638154,0.004475474073211223,0.18380901988540066,0.3420053511507658,0.3307566603849789,0.3013367241194149,44,0.4408155230185277,0.05,0.5833333333333334,43,freeze_router,0.0,0.0,2.265152662752227,121
112,11.999999999999975,0.3886362700059825,0.05,0.5382530708791521,0.9931245738604804,0.004211286328380077,0.1848222445000642,0.3393494731864583,0.32832449843699757,0.2985062584277598,43,0.3886362700059825,0.05,0.4166666666666667,48,probe_small_lambda_only,0.0,0.0,1.9859354965332707,78
108,11.999999999999975,0.48896573976011,0.05000000000000002,0.2639052157528956,0.9940556715919985,0.0037797166992867563,0.19707626191375172,0.3579414778322992,0.3320975193325054,0.28706255426288635,39,0.48896573976011,0.05,0.9166666666666666,38,freeze_router,0.006329871756981409,0.0019802495708316765,1.6824878445294773,59
100,11.999999999999977,0.4552961381061259,0.049999999999999996,0.26761750644561755,0.9945085486350265,0.004353623863311567,0.20029830337790275,0.3543680052569145,0.3646151339947857,0.31263123975397644,38,0.455296138106126,0.05,0.9166666666666666,42,freeze_router,0.0,0.0,1.6561142785882506,55
110,11.999999999999972,0.4983130589685645,0.04999999999999999,0.15382819114413288,0.986824194708392,0.008183027357464649,0.22140348931389384,0.319092807163004,0.4201879457150609,0.3355056558484402,2,0.4983130589685647,0.05,0.5833333333333334,35,freeze_router,0.14447524371988887,0.042065224187091396,1.5896435496220396,47
119,11.99999999999997,0.6101240176728068,0.019725152295718997,0.018018016603006295,0.9895827189130606,0.00622033225916013,0.2214131831223539,0.33345408309235175,0.41918650306177085,0.3191331751084147,0,0.610124017672807,0.019725152295719,0.25,26,freeze_router,0.5906769598073509,0.13995552655430357,1.417359053198188,114
105,11.999999999999973,0.39930129890152993,0.05000000000000002,0.1747321135915282,0.9955540460534035,0.002401946694687785,0.1869612163765343,0.34665320814707185,0.29474317878226103,0.2674257869542068,42,0.39930129890153,0.05,0.5,47,freeze_router,0.0,0.0,1.092048954163543,32
102,11.999999999999973,0.42265380268502517,0.05000000000000001,0.1297481655708611,0.9965445017985889,0.002490215288582527,0.190979212990037,0.3472076664304523,0.303222631848773,0.26056447226990276,40,0.4226538026850252,0.05,0.6666666666666666,46,freeze_router,0.0,0.0,1.0438916238011917,17
110,11.999999999999975,0.4252345873493153,0.04999999999999999,0.0,0.9937654425019398,0.003105549682961297,0.20177876479060952,0.3406313929260251,0.35293465318282613,0.27777674258561924,37,0.4252345873493153,0.05,0.75,45,freeze_router,0.10064381290601326,0.043944747206078556,0.8046009003483151,104
103,11.999999999999977,0.4620447728189116,0.049999999999999996,0.007098000194465498,0.9966236229722326,0.0014472384011166512,0.1842048987304101,0.35114479709661084,0.26958012057018177,0.23291407219062435,41,0.4620447728189117,0.05,0.4166666666666667,41,freeze_router,0.1946198428356334,0.04853190497095084,0.7162020087348883,21
