alpha,beta,living_loss,object_loss,living_acc,object_acc,avg_loss,worst_loss,avg_acc,worst_acc
0.21875,0.125,2.4203927357991537,2.739591884613037,0.24895833333333334,0.1453125,2.5799923102060953,2.739591884613037,0.19713541666666667,0.1453125
0.21875,0.21875,2.6103175481160483,2.460499668121338,0.15833333333333333,0.24375,2.535408608118693,2.6103175481160483,0.20104166666666667,0.15833333333333333
0.21875,0.3125,2.882822545369466,2.2257580280303957,0.06875,0.3046875,2.554290286699931,2.882822545369466,0.18671875,0.06875
0.21875,0.40625,3.2285745620727537,2.045921802520752,0.028125,0.3359375,2.637248182296753,3.2285745620727537,0.18203125,0.028125
0.21875,0.5,3.625425656636556,1.9177687406539916,0.007291666666666667,0.359375,2.771597198645274,3.625425656636556,0.18333333333333332,0.007291666666666667
0.21875,0.59375,4.045846239725749,1.8305516004562379,0.0010416666666666667,0.3609375,2.9381989200909935,4.045846239725749,0.18098958333333334,0.0010416666666666667
0.21875,0.6875,4.467486953735351,1.7723934173583984,0.0,0.3703125,3.119940185546875,4.467486953735351,0.18515625,0.0
0.21875,0.78125,4.8762866973876955,1.7339325904846192,0.0,0.36875,3.3051096439361576,4.8762866973876955,0.184375,0.0
0.21875,0.875,5.266137313842774,1.708559274673462,0.0,0.365625,3.4873482942581178,5.266137313842774,0.1828125,0.0
0.21875,0.96875,5.635888163248698,1.6923218011856078,0.0,0.3671875,3.664104982217153,5.635888163248698,0.18359375,0.0
0.21875,1.0625,5.986630757649739,1.6829178094863892,0.0,0.3671875,3.8347742835680645,5.986630757649739,0.18359375,0.0
0.21875,1.15625,6.320291519165039,1.6793153285980225,0.0,0.3703125,3.9998034238815308,6.320291519165039,0.18515625,0.0
0.21875,1.25,6.639177703857422,1.6811495065689086,0.0,0.3703125,4.160163605213166,6.639177703857422,0.18515625,0.0
0.3125,-0.25,2.219410037994385,3.9914031982421876,0.2708333333333333,0.003125,3.105406618118286,3.9914031982421876,0.13697916666666665,0.003125
0.3125,-0.15625,2.1925036748250326,3.838837671279907,0.284375,0.00625,3.01567067305247,3.838837671279907,0.14531249999999998,0.00625
0.3125,-0.0625,2.1875484784444175,3.6085179805755616,0.30833333333333335,0.009375,2.8980332295099895,3.6085179805755616,0.15885416666666669,0.009375
0.3125,0.03125,2.2186852137247723,3.3106529712677,0.31145833333333334,0.0265625,2.764669092496236,3.3106529712677,0.16901041666666666,0.0265625
