law_id,kind,base_cap,min_cap,high_load_penalty,shared_mixed_penalty,fragile_router_penalty,low_route_evidence_penalty,category_mismatch_penalty,scaled_group_count,max_predicted_relative_delta,p99_predicted_relative_delta,p95_predicted_relative_delta,routed_gt_075_groups,routed_gt_065_groups,routed_gt_050_groups,route_mass_weighted_original_nonbase,route_mass_weighted_preserved_nonbase,nonbase_mass_retention,delta_norm_proxy,delta_norm_proxy_ratio_vs_uncapped,mean_delta_scale,min_delta_scale,internal_risk_score
grid_00083_b0.75_m0.65_h0.00_s0.00_r0.05_l0.05_c0.05,searched_cap_law,0.75,0.65,0.0,0.0,0.05,0.05,0.05,353,0.75,0.7,0.6591308463325014,0,271,610,121.62061756652666,120.08702934589095,0.9873903927531298,1047.5059283295445,0.8941689085812102,0.9857753467250917,0.5252841768261918,1427.1463610535186
grid_00095_b0.75_m0.65_h0.00_s0.03_r0.05_l0.05_c0.05,searched_cap_law,0.75,0.65,0.0,0.03,0.05,0.05,0.05,353,0.75,0.7,0.6591308463325014,0,271,610,121.62061756652666,120.08280239321981,0.9873556375220207,1047.4085337794106,0.8940857709337375,0.9857605993628181,0.5252841768261918,1427.1469730204933
grid_00011_b0.75_m0.60_h0.00_s0.00_r0.05_l0.05_c0.05,searched_cap_law,0.75,0.6,0.0,0.0,0.05,0.05,0.05,355,0.75,0.7,0.6591308463325014,0,271,610,121.62061756652666,120.07677951030263,0.9873061156314261,1046.4112882946533,0.8932345051961632,0.9855857771463581,0.5252841768261918,1427.1471121925676
grid_00023_b0.75_m0.60_h0.00_s0.03_r0.05_l0.05_c0.05,searched_cap_law,0.75,0.6,0.0,0.03,0.05,0.05,0.05,355,0.75,0.7,0.6591308463325014,0,271,610,121.62061756652666,120.07255255763147,0.987271360400317,1046.3137918515984,0.8931512805711569,0.9855710297840845,0.5252841768261918,1427.1477240725649
grid_00010_b0.75_m0.60_h0.00_s0.00_r0.05_l0.05_c0.00,searched_cap_law,0.75,0.6,0.0,0.0,0.05,0.05,0.0,346,0.75,0.7226812827545928,0.6992914096864692,0,306,610,121.62061756652666,120.15002246055653,0.9879083404163301,1050.6281197144494,0.8968340643455065,0.9862610318550857,0.5252841768261918,1602.1386672560188
grid_00082_b0.75_m0.65_h0.00_s0.00_r0.05_l0.05_c0.00,searched_cap_law,0.75,0.65,0.0,0.0,0.05,0.05,0.0,346,0.75,0.7226812827545928,0.6992914096864692,0,306,610,121.62061756652666,120.15002246055653,0.9879083404163301,1050.6281197144494,0.8968340643455065,0.9862610318550857,0.5252841768261918,1602.1386672560188
grid_00022_b0.75_m0.60_h0.00_s0.03_r0.05_l0.05_c0.00,searched_cap_law,0.75,0.6,0.0,0.03,0.05,0.05,0.0,346,0.75,0.719992890120661,0.6992409801852282,0,306,610,121.62061756652666,120.14579550788537,0.9878735851852211,1050.5310146221832,0.8967511737842017,0.9862462844928123,0.5252841768261918,1602.1392794700798
grid_00094_b0.75_m0.65_h0.00_s0.03_r0.05_l0.05_c0.00,searched_cap_law,0.75,0.65,0.0,0.03,0.05,0.05,0.0,346,0.75,0.719992890120661,0.6992409801852282,0,306,610,121.62061756652666,120.14579550788537,0.9878735851852211,1050.5310146221832,0.8967511737842017,0.9862462844928123,0.5252841768261918,1602.1392794700798
grid_00009_b0.75_m0.60_h0.00_s0.00_r0.05_l0.00_c0.05,searched_cap_law,0.75,0.6,0.0,0.0,0.05,0.0,0.05,346,0.75,0.75,0.7,0,364,610,121.62061756652666,120.18493095984061,0.9881953682244647,1060.6918423114082,0.9054246294272115,0.9874936871566465,0.5274114840145747,1892.1415172649379
grid_00081_b0.75_m0.65_h0.00_s0.00_r0.05_l0.00_c0.05,searched_cap_law,0.75,0.65,0.0,0.0,0.05,0.0,0.05,346,0.75,0.75,0.7,0,364,610,121.62061756652666,120.18493095984061,0.9881953682244647,1060.6918423114082,0.9054246294272115,0.9874936871566465,0.5274114840145747,1892.1415172649379
grid_00021_b0.75_m0.60_h0.00_s0.03_r0.05_l0.00_c0.05,searched_cap_law,0.75,0.6,0.0,0.03,0.05,0.0,0.05,346,0.75,0.75,0.7,0,364,610,121.62061756652666,120.18070400716947,0.9881606129933557,1060.5956586250782,0.9053425253937133,0.9874789397943731,0.5274114840145747,1892.1421302655267
grid_00093_b0.75_m0.65_h0.00_s0.03_r0.05_l0.00_c0.05,searched_cap_law,0.75,0.65,0.0,0.03,0.05,0.0,0.05,346,0.75,0.75,0.7,0,364,610,121.62061756652666,120.18070400716947,0.9881606129933557,1060.5956586250782,0.9053425253937133,0.9874789397943731,0.5274114840145747,1892.1421302655267
grid_00027_b0.75_m0.60_h0.05_s0.00_r0.00_l0.05_c0.05,searched_cap_law,0.75,0.6,0.05,0.0,0.0,0.05,0.05,344,0.75,0.75,0.7,0,371,610,121.62061756652666,120.23485875792349,0.9886058890644495,1058.864828236479,0.9038650590828726,0.9872917102305606,0.5650837328727586,1927.131747277794
grid_00099_b0.75_m0.65_h0.05_s0.00_r0.00_l0.05_c0.05,searched_cap_law,0.75,0.65,0.05,0.0,0.0,0.05,0.05,344,0.75,0.75,0.7,0,371,610,121.62061756652666,120.23485875792349,0.9886058890644495,1058.864828236479,0.9038650590828726,0.9872917102305606,0.5650837328727586,1927.131747277794
grid_00039_b0.75_m0.60_h0.05_s0.03_r0.00_l0.05_c0.05,searched_cap_law,0.75,0.6,0.05,0.03,0.0,0.05,0.05,344,0.75,0.75,0.7,0,371,610,121.62061756652666,120.231582740709,0.9885789527005332,1058.8148500049324,0.9038223968128594,0.9872849938823426,0.5650837328727586,1927.132243342802
grid_00111_b0.75_m0.65_h0.05_s0.03_r0.00_l0.05_c0.05,searched_cap_law,0.75,0.65,0.05,0.03,0.0,0.05,0.05,344,0.75,0.75,0.7,0,371,610,121.62061756652666,120.231582740709,0.9885789527005332,1058.8148500049324,0.9038223968128594,0.9872849938823426,0.5650837328727586,1927.132243342802
grid_00003_b0.75_m0.60_h0.00_s0.00_r0.00_l0.05_c0.05,searched_cap_law,0.75,0.6,0.0,0.0,0.0,0.05,0.05,331,0.75,0.75,0.7,0,383,610,121.62061756652666,120.40052555474252,0.9899680495281422,1062.8214079598972,0.9072424629498322,0.9878334657251505,0.5650837328727586,1987.107881472387
grid_00075_b0.75_m0.65_h0.00_s0.00_r0.00_l0.05_c0.05,searched_cap_law,0.75,0.65,0.0,0.0,0.0,0.05,0.05,331,0.75,0.75,0.7,0,383,610,121.62061756652666,120.40052555474252,0.9899680495281422,1062.8214079598972,0.9072424629498322,0.9878334657251505,0.5650837328727586,1987.107881472387
