method,dispatch_mode,general_loss,code_loss,general_acc,code_acc,avg_loss,worst_loss,avg_acc,worst_acc
matched_router_weight_search_average,hard_top2,0.5334593200683594,0.637615795135498,0.845,0.6575,0.5855375576019287,0.637615795135498,0.75125,0.6575
matched_router_hessian_average,soft_all,0.5923377990722656,0.6494095420837402,0.8275,0.75,0.6208736705780029,0.6494095420837402,0.7887500000000001,0.75
matched_router_hessian_average,hard_top1,0.4956596183776856,0.6394328689575195,0.805,0.615,0.5675462436676025,0.6394328689575195,0.71,0.615
matched_router_hessian_average,hard_top2,0.5296334075927734,0.6404629898071289,0.8375,0.65,0.5850481986999512,0.6404629898071289,0.74375,0.65
matched_router_kd_average,soft_all,0.5956244277954101,0.6505132102966309,0.8275,0.745,0.6230688190460205,0.6505132102966309,0.78625,0.745
matched_router_kd_average,hard_top1,0.5115053367614746,0.6436271286010742,0.795,0.6,0.5775662326812744,0.6436271286010742,0.6975,0.6
matched_router_kd_average,hard_top2,0.52296142578125,0.6431512069702149,0.8375,0.66,0.5830563163757325,0.6431512069702149,0.74875,0.66
matched_router_route_kd_average,soft_all,0.580564022064209,0.6403265190124512,0.8475,0.7625,0.6104452705383301,0.6403265190124512,0.8049999999999999,0.7625
matched_router_route_kd_average,hard_top1,0.5094985580444336,0.6296129035949707,0.7825,0.64,0.5695557308197021,0.6296129035949707,0.7112499999999999,0.64
matched_router_route_kd_average,hard_top2,0.536475601196289,0.6273649787902832,0.8525,0.685,0.581920289993286,0.6273649787902832,0.76875,0.685
matched_router_calibrated_average,soft_all,0.5768692970275879,0.6298624610900879,0.86,0.7975,0.6033658790588379,0.6298624610900879,0.82875,0.7975
matched_router_calibrated_average,hard_top1,0.5127428817749023,0.6233673477172852,0.7825,0.6075,0.5680551147460937,0.6233673477172852,0.6950000000000001,0.6075
matched_router_calibrated_average,hard_top2,0.5225707244873047,0.625823860168457,0.8575,0.665,0.5741972923278809,0.625823860168457,0.76125,0.665
matched_router_topk_calibrated_average,soft_all,0.5777081680297852,0.6406959533691406,0.83,0.755,0.6092020606994629,0.6406959533691406,0.7925,0.755
